ID|Komunikat|Kod_Źródło|Kod_Wynik|Miasto_Źródło|Miasto_Wynik|Ulica_Źródło|Ulica_Wynik|Budynek_Źródło|Budynek_Wynik|Lokal_Źródło|Lokal_Wynik|Wojewodztwo_Źródło|Wojewodztwo_Wynik|Powiat_Źródło|Powiat_Wynik|Gmina_Źródło|Gmina_Wynik
A1352892|Nazwa miejscowości jest wymagana|*||*||*Orląt Lwowskich||*||*||*||*||*|
A1336939|Nazwa miejscowości jest wymagana|*38-207||*||*||*||*||*PODKARPACKIE||*||*|
A1901423|Nazwa miejscowości jest wymagana|*71-042||*||*Bieszczadzka||*27||*||*||*||*|
A1333435|Nazwa miejscowości jest wymagana|*32-800||*||*Ogrodowa||*1||*18||*||*||*|
A1311550|Nazwa miejscowości jest wymagana|*30-073||*||*||*||*||*||*||*|
A1311553|Nazwa miejscowości jest wymagana|*26-600||*||*||*||*||*||*||*|
A1179069|Nazwa miejscowości jest wymagana|*32-070||*||*Wołowice||*40||*||*||*||*|
A9294|Nazwa miejscowości jest wymagana|*30-047||*||*Karłowicza||*19||*4||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
AP10806|Nazwa miejscowości jest wymagana|*||*||*Łagiewnicka||*60||*||*||*||*|
A1173703|Nazwa miejscowości jest wymagana|*00-908||*||*gen. Sylwestra Kaliskiego||*2||*||*ŁÓDZKIE||*||*|
A1349101|Nazwa miejscowości jest wymagana|*||*||*J. PIŁSUDSKIEGO||*||*||*||*||*|
A1260387|Nazwa miejscowości jest wymagana|*32-700||*||*Murowianka||*27||*23||*||*||*|
A1257184|Nazwa miejscowości jest wymagana|*38-622||*||*Olszanica||*184||*||*||*||*|
A1333504|Nazwa miejscowości jest wymagana|*34-205||*||*||*287 A||*||*||*||*|
A1333577|Nazwa miejscowości jest wymagana|*33-150||*||*||*172||*||*||*||*|
A1333242|Nazwa miejscowości jest wymagana|*36-211||*||*||*||*||*||*||*|
T3452|Nazwa miejscowości jest wymagana|*30-110||*||*||*||*||*||*||*|
A1351516|Nazwa miejscowości jest wymagana|*97-300||*||*Słowackiego||*71||*68||*||*||*|
A1332998|Nazwa miejscowości jest wymagana|*38-300||*||*Norwida||*4||*10||*||*||*|
A1352616|Nazwa miejscowości jest wymagana|*31-107||*||*Retoryka||*16||*6||*||*||*|
A1333437|Nazwa miejscowości jest wymagana|*32-020||*||*Wiejska||*1||*||*||*||*|
A1333510|Nazwa miejscowości jest wymagana|*26-720||*||*Lipowa||*16||*||*||*||*|
A1333578|Nazwa miejscowości jest wymagana|*22-565||*||*||*317||*11||*||*||*|
A1333413|Nazwa miejscowości jest wymagana|*67-407||*||*||*||*||*||*||*|
A1352201|Nazwa miejscowości jest wymagana|*||*||*Powstańców||*2 c||*44||*MAŁOPOLSKIE||*||*|
A1352209|Nazwa miejscowości jest wymagana|*26-050||*||*||*||*||*||*||*|
A1353060|Nazwa miejscowości jest wymagana|*||*||*Legionów||*20||*50||*||*||*|
A1333236|Nazwa miejscowości jest wymagana|*32-075||*||*||*||*||*||*||*|
A1333245|Nazwa miejscowości jest wymagana|*37-562||*||*||*||*||*||*||*|
A1333495|Nazwa miejscowości jest wymagana|*39-460||*||*||*||*||*||*||*|
A1205611|Nazwa miejscowości jest wymagana|*33-100||*||*Lwowska||*59||*115||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1353116|Nazwa miejscowości jest wymagana|*39-400||*||*Warszawska||*217||*||*||*||*|
A1353679|Nazwa miejscowości jest wymagana|*||*||*os.Hutników||*6||*83||*||*||*|
A1331419|Nazwa miejscowości jest wymagana|*32-600||*||*Różana||*7||*||*||*||*|
A1353570|Nazwa miejscowości jest wymagana|*37-600||*||*Słowackiego||*21||*3||*PODKARPACKIE||*||*|
A1314029|Nazwa miejscowości jest wymagana|*||*||*Hipoteczna||*8||*1||*||*||*|
A1344974|Nazwa miejscowości jest wymagana|*||*||*Witosa||*9||*9||*||*||*|
A1353619|Nazwa miejscowości jest wymagana|*38-500||*||*Sadowa||*18||*7||*||*||*|
A1353621|Nazwa miejscowości jest wymagana|*31-231||*||*Siewna||*21 a||*23||*||*||*|
